Nombre_pagina,URL_post,Recuento_compartidos,Reacciones_totales,Recuento_comentarios,Contenido,Fecha_hora_publicacion,Fecha,Hora,Estado
lululatife,https://www.facebook.com/LuluLatife/posts/pfbid0257ehwGE1Mx1KBbhLBGMTUPwwVRdSRMxCnJeJNJC2gMMowje54Hn273yTXNAZxWMcl?__cft__[0]=AZW73yQolWqvUaVIeXOKaHAnlFy6vEGSuDB6Qy_QyFehkQXQI7r1lzZfzggUshgFfQd5_iN4Ftu-1OJUXnNdn8eVfEDFC53odPWoHXbd8u7QSB7vpmMEc1UwzHOuQnDQWC6fP_FWJGSIL-y5UJ-9XO0ERrCUnmC7JII4UUTm-q1sW-IDC7G266xo_UkFefdJWIUTS5FY2xDt9LqTPqYUN-v6&__tn__=%2CO%2CP-R,0,2,0,Un dia para recordar y honrar a nuestros familiares...,2023-10-31T07:02:32.482786,31-10-2023,07:02 AM,NORMAL
ricardovelazco2022,https://www.facebook.com/RicardoVelazco2022/posts/pfbid02L2vVLEdUg59EaDJb5AzYR146ypb7z2erYqsmqcVCqmhTErH1cZo6evSGfwGsmd19l?__cft__[0]=AZXb6AI5Ci6j4y5ZB0WWBJBmwQDYSB0oPSS-5FGN1rZpJqegFLKXl3YUMbsw-8xf-pEwKgQZILXIK_w1Q81mIxb2_3j7GpWEROLHh91DSTE9dHXa-9fputFkvtV6K1_rOVT9Vgf3_ryKRt24k9C_m8H0rm0t8jpmwagfGXvLq7jCCx0MXmn_kFaTRMVMxFoGPnquoxzLgfQwGLeNd_zS-uFw&__tn__=%2CO%2CP-R,0,11,18,"Presente en la Reunion de las Comisiones Unidas de Deporte y para la Igualdad de Genero, con motivo del estudio, analisis, discusion y dictaminacion de la Iniciativa de decreto por el que se adicionan y reforman diversas disposiciones de la Ley Estatal de Cultura Fisica y Deporte; la Ley para la Igualdad entre Mujeres y Hombres del Estado de Quintana Roo y la Ley de la Juventud del Estado Libre y Soberano de #QuintanaRoo. #UnidosParaTransformar #trabajandoconelcorazon",2023-10-31T06:23:35.643654,31-10-2023,06:23 AM,NORMAL
hugoaldayn,https://www.facebook.com/HugoAldayN/posts/pfbid02BCcpbXAhh2zpDdvTZDyKKXzyBsKr68REon2R9kpZoMjc1X1NwWQY4u63xEV5qDvBl?__cft__[0]=AZUFMvEndveXL5N20LrlH4RGqwcR8Y96y_DiXgyABh2N-C2cXi-UrTUA0vHsz6hHpG78XI63LzQ5Z2mlbRrZGZPGe7ObISpH9yN4Z3uc9EEaSJ-GUKDMrqPOdGO7s0lO3s79snMycDuyUxfZhl8AvFmH8S9zM2mdeQDWrQxqBSL2H5vLLGbrCANmNm-E3LRwzy7mEqrpudg5JopcD2v3fFtk&__tn__=%2CO%2CP-R,0,1,1,Ya fueron a ver la decoracion de Dia de Muertos en el Ayuntamiento de Cancun?Vale la pena ir. #DiaDeMuertos,2023-10-31T06:23:40.732914,31-10-2023,06:23 AM,NORMAL
soyanapaty,https://www.facebook.com/soyanapaty/posts/959201359108785?__cft__[0]=AZU1mntuO-XsiFl4Nyo220Qtg69dS8zdDR1RN9QPp5KVVkG2XwOHeru1poI52_RLiK3fw7NlmOP9BbCCBl3nHOMkaMmpsIUdCdSQjoZ815lga4iVV3bBP69eMhsGxnPB3wmeMIP78eFPD2EfWERn8s8gvlKSfEcoMW1_r7Qg7P8X-7HtUq4HN5_DrVncHvOuOY7rWEPKvOyeVnziw72K9A5B&__tn__=%2CO%2CP-R,25,19,4,"Cancunenses les comparto el programa  cultural que tendremos en nuestro #HanalPixan en #Puertojuarez este 31 de octubre y 1 y 2 de noviembre a partir de las 5 de la tarde.Recuerden que contaremos con transporte publico gratiuto que saldra desde El Crucero y Malecon Tajamar, porque todos los caminos llevan a Puerto Juarez.Vivamos juntas y juntos nuestras tradiciones, esas que nos unen.#SeguirTransformando",2023-10-31T07:07:34.234262,31-10-2023,07:07 AM,NORMAL
soyanapaty,https://www.facebook.com/soyanapaty/posts/958957812466473?__cft__[0]=AZVXBNgfxK-GzU-iwz_dubhmuL_EcrpZ3YY-ZWYm_QP-8geu70dd0j9REvthErNlIPFCivWwrAJJIuQu9CF_afmMo3gImoFnE81EPiVBYnAeXusidrhr31-Vnsa2bdeS_GMCBLHcUQYhzPrU-CUxkW0XV7dYCwadWESj-IHqD4f1GctTRWCxlF1IHr2952IQejXY-wyfYrc7Mvtf9f4vxGoy&__tn__=%2CO%2CP-R,1,30,3,Son mujeres y hombres cancunenses que llevan entre 5 y 35 anos de servicio en el Colegio de Bachilleres Quintana Roo quien junto con nuestra gobernadora Mara Lezama les reconocimos sus anos de compromiso en favor de la transformacion de nuestra juventud.Cuenten conmigo para lograr impulsar nuestra juventud y el futuro de nuestra ciudad porque #CancunNosUne,2023-10-30T22:23:39.537111,30-10-2023,10:23 PM,NORMAL
lupitamurguiag,https://www.facebook.com/LupitaMurguiaG/posts/pfbid07tdP6TF53rWBW89Ab9e6nrZEnGMRsMrED27N9ztJLTU7JcMsweMMST1rjYjof4NKl?__cft__[0]=AZVbkZygBk_zApdXb_Cly4UfqviHKWrAz9bpH4fD5CDbwXVTc1_MTGKaSb7lcWftxkOJ7rqStx9t43OqGNo2DhYL0lcyvDgDSvb-oLQAJqxv0tZaO7ERdZUiGzNHE_f5To6c8Jroi_Do-c0SPp0nvYuI7keuC0fVObZa5QT_VqYqrsAl_Eppp3p14SjTy838i7aLPRqTB2pJVq6uI_qXUJ7m&__tn__=%2CO%2CP-R,5,43,5,"Con motivo del tradicional #DiaDeMuertos, se llevo a cabo un Concierto organizado por la Coordinacion de Delegados del Municipio de #Queretaro. Un reconocimiento a los policias caidos en cumplimiento de su deber.",2023-10-30T22:23:44.601569,30-10-2023,10:23 PM,NORMAL
soypablobustamante,https://www.facebook.com/soypablobustamante/posts/pfbid035pGzJfj787DJYPNbDZi46dTuS5JpZfM8HNXcAG6mFoxq5M61mhtpXjJNwaZvZvcil?__cft__[0]=AZU6s1s6k0KzoMso5SMHmpTnLIaUmEWLl0P-ZiR9W-U7T779DsXXkoluaBNwmrAhKhnW2d39V6yz0jVVq3mj8W2pPioV8uxvBkK0YKn8lrMVxj_b_a8FbfqG1QjGhF88kGujD2e8244hZrYLS4sCae9BpO53q0xNAXQwmDlWaq6LnFEPgkj3P0Qy-W-zQKEP17LFfNp63SW2fgtrMtqJ1Ziw&__tn__=%2CO%2CP-R,0,16,6,List@s para recibir con un tradicional #PIB a nuestros seres queridos. #HanalPixan #DiaDeMuertos #Mexico #QuintanaRoo,2023-10-31T07:03:45.966918,31-10-2023,07:03 AM,NORMAL
temistoclesvr,https://www.facebook.com/TemistoclesVR/posts/pfbid0W3GR2SC1TgK7E3Get5wW7foL3MehvMT7KosDr1rjn5GbFaXVvkEmn3GrCEu82TLMl?__cft__[0]=AZUJ3IMlK7NY2Pg17ijr1_N3Ec-4tt33qLvjf5NN5htRGEvo6SUTjlH6TxkK-043zUJA5LsFzvPyD36T68TT1scVsTh_r9Gr2niGn_hLvKfb3COLfoLNgTJJ3RSeAD704ra7vX-hYy9eOPq63jAkYF6GVvMU6oHKBhMbXdtMpR7o3Sitll4cm1UTPHKgRGUeUf9LgU5slu6PaHBuTzyRAE75&__tn__=%2CO%2CP-R,0,10,2,"El primer dia de la semana lo termine con #AsambleaVecinal en la #ColoniaObrera, donde escuche sus preocupaciones sobre seguridad, atencion al espacio publico y el cuidado del medio ambiente. Me llevo sus necesidades para atenderlas y gestionar prontas soluciones. Agradezco su asistencia y participaciones. Todos sus comentarios son indispensables para trabajar por una mejor alcaldia. Sigamos trabajando de la mano. #SigamosConstruyendo una mejor Cuauhtemoc.",2023-10-31T00:23:45.319650,31-10-2023,12:23 AM,NORMAL
mariodelgadocarrillo,https://www.facebook.com/mariodelgadocarrillo/posts/pfbid0RkV8zkuQduUXdviLWUj7JHchZHt4H76T4bAFoHoyZwqpZkSiD1L8gN3bhbWAeiYCl?__cft__[0]=AZV5eyVH3Wr1c8bbhAzv5B8L81eIMDhSemMweIdQZvEL15PHdpeGIE7CkABOdD4fyDxuBWvg1hmrbsYU325_qi6L5bdLERrto6iAzJtTWorv1r8UdadRuR3d16rSduy6P7PNXmrYAF1ZAKTYGTnOOXysgHuUc9wxvVHrwb_EDmLe9F8IHUoG9ah9zn9_n0FlDySUAmxvuYYRr_53Btx9UUv024JeywXIb-nCjhWHY5vldg&__tn__=%2CO%2CP-R,15,243,29,"La Dra. Claudia Sheinbaum, Coordinadora Nacional de Defensa de la #4T, nos acompano en una reunion interna. Unidas y unidos somos mas fuertes!",2023-10-30T22:26:53.567939,30-10-2023,10:26 PM,NORMAL
renansanchezt,https://www.facebook.com/RenanSanchezT/posts/pfbid0q271hKvFRkA9n19kKtNfcofcp3J2L9npCMr2j6FnQKSSEo4ic27mzDhnCYEcoWRKl?__cft__[0]=AZWtmH-4bNGVYAp2fZ25f3_Pe9xEuol-FRUgtSTvWbJPqwA8iAp-VeKC_cDTRSEXFLM--cZ6vUE-ixaabUrdb-Y1kheTiQQu4F0V6tVA0Fwz8g30FbSC4SnJNVQ5nlR0B-X-F3LCLwytlcJTRi1wQ9ItzIKrPZZocVnJobBfT3rpYtn2bxNNgMsnof_y-3-24Bi2L6RxsjfHBRl29R4x4RRt&__tn__=%2CO%2CP-R,0,14,1,"Concluimos las actividades legislativas del dia con reunion de comisiones unidas de Puntos Constitucionales y Anticorrupcion, Participacion Ciudadana y Organos Autonomos, analizando reformas a la Ley de Instituciones y Procedimientos Electorales para el Estado de Quintana Roo.",2023-10-30T22:27:56.775486,30-10-2023,10:27 PM,NORMAL
benjaminricom,https://www.facebook.com/BenjaminRicoM/posts/pfbid0nZoZuFVumCU8kdtgnKyyzsczZjGKKSZse57TpUNHkUG8zHwLjTQUYPD6smyCPZysl?__cft__[0]=AZWyYuyteCgQIt-3fkhnGjj_wElD9cE5IMET7N_eaeW_VCGRs6s726dJotubMnFrOQ5vCKtU_CKOW4j-X_RnddoseiZ7UvMclNWsiQC0Yn3zP04qQSVTIPB2Jfc90A6aBhDH2WYSnOBZwEaASlqGxcxJjBhFEDz9A24dugKQ5O-H3UYYiOvPMtdGHjnDkGCC-Z5V2tnRWwHvUMTZnYIfHkgN&__tn__=%2CO%2CP-R,3,32,2,Este es el #Pachuca de mi corazon  ciudad por la que todos los dias damos nuestro mayor esfuerzo. #ExcelenteMartes #ADarle,2023-10-31T07:06:16.173898,31-10-2023,07:06 AM,NORMAL
pepecouttolenc,https://www.facebook.com/PepeCouttolenc/posts/pfbid0JDKNCF4UXxPau4UvUoJQoWN7mto5rWLbVJbbCwhfTKRYWR6pVjXpMSYoFD2JYLXhl?__cft__[0]=AZUJlWr4gFO1liiNt7yEHlWZ4IV63Y-lgGFVvjKFwCQwbX4G4bvTbgGzt33ZMdsgbZorjmQ6Am6OJEj4gye3Z2SkcoxP_ltCk7NOQYqZLozyv-jDMSlLAruJ4U-DCdJ_u5hw7NuCJxWkOgIgP0tpwPmxfiaAkMw5Wvh-GKOsFwDvwgG89aKqgdM3b7apo6kkXeXWttGQ5fsahsBWIPXKs35N&__tn__=%2CO%2CP-R,0,45,10,"A la gente no le falta fuerza, le falta determinacion- Victor Hugo",2023-10-31T07:09:16.237423,31-10-2023,07:09 AM,NORMAL
dimenews,https://www.facebook.com/DimeNews/posts/pfbid0364US51qop5RMo6cTdNDUxXrAjhN9whc22AUjd1V1cTGbwNo4sTK1Kf1GiyikG4fWl?__cft__[0]=AZUBatl8uXnCeAhp3ANTSRyGj2QJHWdmNynWLiacqf6Px_hAwwQWbKJD3WgJeHiZBDS0x8SnivNARNh0wNqk2qp7RsHJrvW7HwLrG2BPcJKHQdqS5-uG7Nld5V8mf60-gYKAphjzA6Kf6GgDjAA1RFf3DgMJ7FGSReMSyzkUIajZNrPGImyv2lMIidIUmrUZjDfn7UQhvUtllqElnNLFwPUWOR1mo0TWf57zmC0J5EJ4SA&__tn__=%2CO%2CP-R,0,0,1,"#Clima | Tendremos un martes nublado  con lluvias  con actividad electrica  temperaturas  maxima de 32  y minima de 23 , mucho calor  humedad relativa al 77 %.Toma tus precauciones.",2023-10-31T07:22:26.099263,31-10-2023,07:22 AM,NORMAL
ogharfuch,https://www.facebook.com/OGHarfuch/posts/pfbid0d7TcqeyWREfV6Ac9K7jucpUGNuSvtJzKR7ivrLaLt6SPz62nfQboa43tKi2kHdNgl?__cft__[0]=AZVk3ifXDK4e8A7bvwJDKOkrWAUGRY-AYwVl9_luww0DKu8laLW_Zj70wL7QGJRlweiA38KVgPME4WblyHEqAv3WOBD5fLdyI57CMdgulZ2dtSXTLvpaYJ7OESXlAOkxMs9amy5TRHL7y228HJHCsZ3n7baFzv-9eNCclS2L5CzwdIlsgRz45WTsyC1teQ2TPlf_h6ibO-q1bsw2B7CQK8pA&__tn__=%2CO%2CP-R,54,1574,70,Tradiciones unicas! Que gran evento en Tlahuac!,2023-10-30T23:28:27.178143,30-10-2023,11:28 PM,NORMAL
100063471730986,https://www.facebook.com/cristinacruzmx/posts/pfbid031ehmYNFdZyNysQFLQZzidgRkJCrZ6mYVA4wdcc8KBvKDXbWX5wpm2FeLE8vUTpTXl?__cft__[0]=AZX6QElxV2Cwh7TYd2o92gcgt4pQDY5ERiRHI_0dsWyJR1jJpAjJVSAyN1G9bTf5WHeBVqp2QehimyUqqWL3SdtgQCjmQDuPvWvO0TAvk6WHIHE3fE2UTBWDqmpfZv_5IZhgAdCi4xCWA_PsdtBFkOHnV83S3w9qKNePmX_Yf7uiWlVOFNhDJ0GmKzViDssvEnLy1v0BTe-iHtK8vpqSbmTw&__tn__=%2CO%2CP-R,0,13,1,Este lunes nos reunimos con nuestra Coordinadora Nacional de los Comites en Defensa de la 4T @claudia_shein fortaleciendo la unidad y organizacion de nuestro movimiento.,2023-10-30T23:28:30.767791,30-10-2023,11:28 PM,NORMAL
danielduarte.vall,https://www.facebook.com/DanielDuarte.Vall/posts/pfbid0KGasPB79BthWTa1yweNaKi8GsQkf4MdxqZ6fJwkkqXSVc2Li5aKuL6pUHYjN8q5xl?__cft__[0]=AZUR3mmUmy404mJU8343RnF5vcB2G32MRq1En24QF8GdgXcubo6-4YXlVK7PQp478YlDJFhPfrOGUgVjM3W85gJPAV-g1A4tUEfKVLc12QzbiftcdiuDlPtlT971h5MEprCAtucFAir1X8L3xlW_GPH1tnz0Bemg3HbLk6_aJQ9nQ16WcpE2iuJhVEGkIvztTJARL-GrKLRFOMdQOhv2cAYyI2X0IN-iauB8rmoGz_xdfLI7mPlJ-cpE1w4plr8LSmg&__tn__=%2CO%2CP-R,0,0,0,Y a tus muertitos que les gustaba en vida? #diademuertos #mexico,2023-10-30T22:28:34.630424,30-10-2023,10:28 PM,NORMAL
crissalcerreca,https://www.facebook.com/CrissAlcerreca/posts/pfbid0Fe8tidjSDgwYwV8HARMr4B7RDqkJeEUTPwF1xsvx8yMDUX5xG8CconSt1eLDUgbYl?__cft__[0]=AZW6MwIotkoix3uuz3pP8TxWq_dNKAao9M1lNqf3gMi7I5OUnpE9XGMdqJvdvZzN1qNl6AWCiFyprZy-jHuG9kbWrk6PPIMlF5vHZL7ZNq1YQp8OcUwBtIDFypVt2EZuKeXARXGSFsrh9CTwlyCIfC_kVo1hzTUWmis4L6C7jqT2H8g_xsBlj0v7SzN90MN19Uygat6LVnd5a5gMXXEfG4qE&__tn__=%2CO%2CP-R,0,4,0,"Este lunes, en nuestra sesion ordinaria numero 20, tuve el honor de participar en la aprobacion de la reforma a los articulos 12 y 17 de la Constitucion Politica del Estado. Esta iniciativa, que surgio de la vision de nuestra gobernadora, Mara Lezama, marca un importante paso en nuestro compromiso con el reconocimiento de la dignidad humana y el derecho a una buena administracion publica. Estamos decididos a avanzar hacia una transformacion significativa del estado.#LegislarParaTodos#XVIILegislatura",2023-10-30T23:28:33.550767,30-10-2023,11:28 PM,NORMAL
crissalcerreca,https://www.facebook.com/CrissAlcerreca/posts/pfbid0Yg3v8jRcQp9y77KBy2Qr8theMy1NQpr7qzQN6m6xkQ9Yj85pdSQvsZRumnbmURMrl?__cft__[0]=AZUUKn8Ru3dfWn8qCJVAPAYocSwi19teb4nMzQ23qDlHi9kBFoodfdcS9opx3imjm-NQM-VSeGffpaCyrwltUPCsyesF7rS62YWGrl9SYqGDGeCnOKh24NgjZmApqMIoBhdzy4GLaQ0rFw-NVG1Q5cd2ykCc8-wa7F-TbwYdi1Jh-Oz49XAi8WgZQ2_wNCDbs_P6UXqtvSTAMo9bh190abi0&__tn__=%2CO%2CP-R,0,2,0,"Feliz cumpleanos mi querido Marco Polo Carballo!Espero que en este dia tan especial te la hayas pasado super bien, consentido y lleno de amor. Que la vida te siga sonriendo y que sea una vuelta al sol llena de bendiciones.#felicidades",2023-10-30T23:28:38.735973,30-10-2023,11:28 PM,NORMAL
ptomorelosayto,https://www.facebook.com/PtoMorelosAyto/posts/pfbid0Y8VMwPwqxBM2L6GmXDkt5tns7qNQNF997DMyWF91yuB55cW2xcSFtsRGhk9HTvebl?__cft__[0]=AZXwARO9ORcX-CDvPy8pi1-48aySq3QeGIMf9zRjBRjSzkD_sZt0Ubk9Q3CAQyT9_NUqMor4VNxED2I-EjWgajXBys9wI6rz9iRCwMjrLe9kSBqB9sneBFTHqWfpNtMuyMs9bVUVDuv_uKOx056TaGNBjXHMVS-8ENiUwOnovxPvqk25MJ62E5CJNbZgqeDEpGQFb5tFz110j-OkiepJXd5D&__tn__=%2CO%2CP-R,0,12,11,"El #DiaDeMuertos es una celebracion ancestral que honra a los seres queridos fallecidos, a traves de los altares se cree que se tiende un puente de comunicacion entre ellos y los vivos.",2023-10-31T06:32:52.034925,31-10-2023,06:32 AM,NORMAL
juanitalonso,https://www.facebook.com/Juanitalonso/posts/pfbid036NGuU3s58r3pT1NbisYhoZbNnSm87mCph5328Q1XYZEeWWt6a3AXkyBnbB2TAJRvl?__cft__[0]=AZVN-M_S4OHL-EqDjzb_aTCJ4a-3VpVJXBAVlrnfkDs7LcFlbVucLMpc1LTfYvmNkHD_g-RVyictLCBmUawlSLIm0U6YtK9YA2YnqwyvGfkz5SlsNL4CUNfsthRxe_71OZVLFBQAdw-w33GY0B4J339YcwxkClScjMOMO8hr9hsQen_rK2nUCaTf8dNoL0HzFcdRJm0b3t4u1Qg-UuglgGbj&__tn__=%2CO%2CP-R,0,1,0,"Muchas felicidades a las ganadoras del concurso de catrinas del tercer Festival Dia de Muertos Almas con Tradicion Cozumel! Categoria Infantil Primer lugar: Alexa Ximena Castillo Rodriguez Segundo lugar: Shayna Nohely Sabido Cahuich Tercer lugar: Alinna Karolina Fernandez Custodio Categoria Juvenil Primer lugar: Sofia Nazaret Ventura Santana Segundo lugar: Pilar Angelica Mukul Catzin Tercer lugar: Maggie Guadalupe Choy CanulGracias a todas las participantes por enriquecer nuestra comunidad, fomentar la expresion artistica y contribuir a la preservacion de nuestras tradiciones.#UnidosSomosMasGrandes#DiaDeMuertos#AlmasConTradicion#Cozumel",2023-10-31T07:30:55.303155,31-10-2023,07:30 AM,NORMAL
hugoaldayn,https://www.facebook.com/HugoAldayN/posts/pfbid02BCcpbXAhh2zpDdvTZDyKKXzyBsKr68REon2R9kpZoMjc1X1NwWQY4u63xEV5qDvBl?__cft__[0]=AZVqIJuji5Xm7mp8GTFIY3_M-HHWgsreeuqfAuPCF9VSzf_slT5PJIopGJQmiItyeAPbZ56SJrAa57LATOW-pOViliMVKqvQRkox6oYCaGM5r_1dRb4igTTjd4DG9htJYl1zMckqmMuMMKQecrSut7dVgyN3a2yGrD6QcI_7mUmEIyFULgvSIv5-siaurRf-1zXjtkVMxvxoo81bT3URogI7&__tn__=%2CO%2CP-R,0,1,1,Ya fueron a ver la decoracion de Dia de Muertos en el Ayuntamiento de Cancun?Vale la pena ir. #DiaDeMuertos,2023-10-31T06:33:34.609832,31-10-2023,06:33 AM,NORMAL
ricardovelazco2022,https://www.facebook.com/RicardoVelazco2022/posts/pfbid02L2vVLEdUg59EaDJb5AzYR146ypb7z2erYqsmqcVCqmhTErH1cZo6evSGfwGsmd19l?__cft__[0]=AZU9otcP0-3iRKFBQAebT7Klgm5aeCgcHPgrK_SmurASoKcl2UZbt8BjMZrJaUzCWInluZHVT-M_c3S6qFM2KxcsPaFDB9V7gleLO47pc0UbmohjvaNnEMmr9nb8_NZOfwuBKIPbDUMCAOhPI0kV5XsJbU44h-kdsJ12nYeI5k3YXBqE_uWjL7wU3QYJ8AvLP-r_Ye4p4cxo0ZDTJhOd76qe&__tn__=%2CO%2CP-R,0,12,18,"Presente en la Reunion de las Comisiones Unidas de Deporte y para la Igualdad de Genero, con motivo del estudio, analisis, discusion y dictaminacion de la Iniciativa de decreto por el que se adicionan y reforman diversas disposiciones de la Ley Estatal de Cultura Fisica y Deporte; la Ley para la Igualdad entre Mujeres y Hombres del Estado de Quintana Roo y la Ley de la Juventud del Estado Libre y Soberano de #QuintanaRoo. #UnidosParaTransformar #trabajandoconelcorazon",2023-10-31T06:33:35.740807,31-10-2023,06:33 AM,NORMAL
soyanapaty,https://www.facebook.com/soyanapaty/posts/pfbid02CNmMTz84zdBo6Li8UVFDFQGipikCxxKgfovHRr7W5qdctVMYN3m9ysqNTgs65VZrl?__cft__[0]=AZXwUBRaFy3z-tTTSJVubsK69STZF_QpnHU5WtLurgsQTUwdwKt1IAteYeGc2Ye2JY1X5rQoUtQmfnofLLSLF2jTptkXxWrQ5IXjCjQlHoQFBuC8c-JypceX7k5oUn4i0zU5YRTN5mjywEcvi6ieleeZskwEICbPfRcBlMUm20aBigSErcYDo6l55Q_f4XBiwL7zR5f0zzvAuKXVnwE2k9VC&__tn__=%2CO%2CP-R,36,25,5,"Cancunenses les comparto el programa  cultural que tendremos en nuestro #HanalPixan en #Puertojuarez este 31 de octubre y 1 y 2 de noviembre a partir de las 5 de la tarde.Recuerden que contaremos con transporte publico gratiuto que saldra desde El Crucero y Malecon Tajamar, porque todos los caminos llevan a Puerto Juarez.Vivamos juntas y juntos nuestras tradiciones, esas que nos unen.#SeguirTransformando",2023-10-31T07:07:32.636109,31-10-2023,07:07 AM,NORMAL
soyanapaty,https://www.facebook.com/soyanapaty/posts/pfbid02J6SFcFcWcYp9YiHjVoAeDS6dWQmU1jC4KhRq9gtE3dTXskjPQwsoyd1gzqc5Pt19l?__cft__[0]=AZUtM8n70gExrpb6Pl0RhXk3kdgoDQkqtYGm1XnEbV7e_iSYES-_QTg6DXHnNsMypYORWXL_UXexmWm-_DhB0QAokyqgcU4SOOK94tQ-mtV707WVEilFXPzvjviJQpsGnF-aRmc4LbW8p16RjuFDKwxCQhBcFpUpRqLb6xNG8aJQxUSyGgzC7kS52WoVIPDz2E7F0TYrjpY37Kefhko_n1HH&__tn__=%2CO%2CP-R,1,30,3,Son mujeres y hombres cancunenses que llevan entre 5 y 35 anos de servicio en el Colegio de Bachilleres Quintana Roo quien junto con nuestra gobernadora Mara Lezama les reconocimos sus anos de compromiso en favor de la transformacion de nuestra juventud.Cuenten conmigo para lograr impulsar nuestra juventud y el futuro de nuestra ciudad porque #CancunNosUne,2023-10-30T22:33:37.874104,30-10-2023,10:33 PM,NORMAL
lululatife,https://www.facebook.com/LuluLatife/posts/pfbid0257ehwGE1Mx1KBbhLBGMTUPwwVRdSRMxCnJeJNJC2gMMowje54Hn273yTXNAZxWMcl?__cft__[0]=AZWp3UCl_PawsgD5uC4udl7Vyo0NBmQk-xGKlAJkavrY8tUOnqJS_q6XQtk21EJ03pU6TCnyBbZZnVmzMrBpOgJDOWxnMt-k6tMKpoFW7-gypyiZgqa0PvRdeWFqIaJaHVVOxGSmFT7kf7wRfob_ACzZuauj_4LcC28uKQWSnma86RXIXU41xEiYZSPsaJ_brFrz_wu2G7SCvC6XurMoPp8s&__tn__=%2CO%2CP-R,0,2,0,Un dia para recordar y honrar a nuestros familiares...,2023-10-31T07:02:20.456971,31-10-2023,07:02 AM,NORMAL
lululatife,https://www.facebook.com/LuluLatife/posts/817803963683857:1045446939930051?__cft__[0]=AZWRlAWJXMlEXRgPISHxtjQvJ8tjPN9Pt2BDmWMUIqNOtecu45Ufh5TH3m2LnrQgyGw7SMQMyb-a0_imuTm7TDnEjBwUVSpzRYwlwbqxQBAO_HhdN0cMw-Cym0ZpeckGEQsa05pnyHTGY1Qrt0MyC3XJV_R4DC9f29PEsDQJw3fDa01swTjMLXrgketRhiU3TnrU1STM91uqLv0lJk7999e5bDOwXncWUlaboUUOpbNWSQ&__tn__=%2CO%2CP-R,0,10,0,,2023-10-31T00:33:25.848853,31-10-2023,12:33 AM,NORMAL
lululatife,https://www.facebook.com/LuluLatife/posts/293535793585777:293535793585777?__cft__[0]=AZVn1w2HrW-ghB_HAO8YzwMddvB8CuNjvdjIUXtfvBq1i1JN3ynIRZS5QztrgfKEMQO7hJ9vvFBKXoWSbWbnK_ZI4bjlF0NBur0BMT8_K85XTFQhzXsrxos4Zvma7uY__21SA-X0PmuwlhyP2mSZB0F8USdmgKIgPMQsy4c-13jddmX6GU7S6FT5I5yWXLNPt0UspPzdZKHfSQCpWvMCoVBl&__tn__=%2CO%2CP-R,1,16,1,,2023-10-31T00:33:26.082230,31-10-2023,12:33 AM,NORMAL
lululatife,https://www.facebook.com/LuluLatife/posts/pfbid02Jf6CW5vE33CpNpVg5CP9ESyzWUMukswa6qkJrnbKvC7vL6qq9ti6BZ7mnDVZMZFcl?__cft__[0]=AZVligxSybUmlm-yWWQfWDUQUeaP-nJx7JyCTJDdvGbrZnjdVryNB3l5ZDz0U92a-mePZ_feHAu0nQPUo61iagQdBn4mz_t4_QPFlRlHKHbmYLjSauB6nsiJdx1GPUDxBdWNbOWLXmdQjJknDF1RWPdl4yqSv1EVJx4SmVHdIMuflULSOeH3Owx_6_3yny7IFgT-ZURGRWkJKPamRoDZIhFq7B0rz9X4TrdqPskYehOJAlbW9AwSGMOnwHbnd7VYZgM&__tn__=%2CO%2CP-R,0,5,0,Un magnifico evento que nos permite celebrar el 113 Aniversario de la Revolucion Mexicana!#L4TIendoPorCancun#BenitoJuarez #Cancun#Deporte #DesfileMilitar,2023-10-31T00:33:26.306629,31-10-2023,12:33 AM,NORMAL
lululatife,https://www.facebook.com/LuluLatife/posts/pfbid02PRAzoCFP7gFtZaxezir2pxJaVjPD5sufPq1einebcx3QrpNppqn12S48CdKpg7fXl?__cft__[0]=AZXkVhEh3aSmm8bLp4WPaO4Rc2U4JBsFoMVndm0luTBkpxYKo5fvn9kAfUURlvdvrFmfXf3z9-rxrUKHFxZ9XP40KMoq_HAOK3J-FdVhpy1NFInIuVKj55q7Xnfr0E_q0tO46F3lfDRDxgzpatupp7J2M5gLmB_ils60kZh1cI0qxU0Wx5IpL0PhR2HMJkE_uubKMkO0-v05Pa938fZxfcZb&__tn__=%2CO%2CP-R,0,8,1,"El dia de hoy estuvimos presentes en la Vigesima Tercera Sesion de la Comision de Salud Publica, Asistencia Social y Proteccion Animal.#L4TIendoPorCancun#BenitoJuarez  #Cancun#SaludPublica #ProteccionAnimal",2023-10-30T23:33:32.863502,30-10-2023,11:33 PM,NORMAL
lululatife,https://www.facebook.com/LuluLatife/posts/pfbid0oQWcde7PpDFAoK6ExZZS1oaU59uxXRb9AnG2qt5ZUbVUAJ2ThybDPERJS8SrXU2Nl?__cft__[0]=AZXn9xbe1247X5kj1ED_jJJ658hzQXpalI7OrxDaNwNZo8hMLHDJxqupt20blrAhd_RPjOe3h4Lm4WvdkgufxAcFNqeTCWuqAH2EULgzJEz-oI_rAeOA-K1bD92lV1WKCA-8v_WntZolmUEEJPu1E0cmz_kTYnG9HH7X1ImVzEVxJidLbIuKDj0R0U_uhZacclwy7da_p0NOIbVJE5866Ipf&__tn__=%2CO%2CP-R,0,7,0,,2023-10-30T22:33:32.972211,30-10-2023,10:33 PM,NORMAL
