Nombre_pagina,URL_post,Recuento_compartidos,Reacciones_totales,Recuento_comentarios,Contenido,Fecha_hora_publicacion,Fecha,Hora,Estado
temistoclesvr,https://www.facebook.com/TemistoclesVR/posts/826963976097278?__cft__[0]=AZW7k3h7z4Qh32C_YPy8HmXaRHosL5InUrSRYV0L_EGR0fnsyRUs3pbi3R5JXE59bIygRIk5-3kSi-GODmhY_3uGDWX65OswFpRSvweX5XKlh2taQD7IJcTEssZFDnOB3k1NXjWsEcffvwmtZnLOHziRbi599Ta7a3gKmr4BVbtwFJcAVy9wEKVid0Jc5IuRgQifveEku6nh-jD5SsU00EpApU_oiCJPXu34Kvkzeee5Xfl5I3HcEDfgHFAzaalsX51D_T96IDIkBw1xpNZn6oRpjhBGvi-NtzSsvfM3LWz2yQ&__tn__=%2CO%2CP-R,0,10,2,"El primer dia de la semana lo termine con #AsambleaVecinal en la #ColoniaObrera, donde escuche sus preocupaciones sobre seguridad, atencion al espacio publico y el cuidado del medio ambiente. Me llevo sus necesidades para atenderlas y gestionar prontas soluciones. Agradezco su asistencia y participaciones. Todos sus comentarios son indispensables para trabajar por una mejor alcaldia. Sigamos trabajando de la mano. #SigamosConstruyendo una mejor Cuauhtemoc.",2023-10-31T00:31:24.952041,31-10-2023,12:31 AM,NORMAL
dimenews,https://www.facebook.com/DimeNews/posts/pfbid02hfCbQe7yAEYyrvjeYLAiYQthWCNR7MXJrVZAvGP8EQ1p83RooMtevuAvEij79krrl?__cft__[0]=AZUfYZoVMM2IpsslSXqWspAXnop2vJdEl6IFENPLqGD7Yuj3Tsi5r349p-PCrQnq-aWE2IDxwE83pdfulpb_p6e0Z6oIkQS_UvuYaT81DLqYejs7U3AhRqxadLECMDG2q_CKlHeTmpU4ec-UAXbuU4rJcPqFER3FoQ0HH3orM28hhbYgXpskOpvS1_h3XFPOKBgvMcMDpy-VT5iFKpnRBtoM&__tn__=%2CO%2CP-R,0,0,0,#FelizMartes DiMe News #QuintanaRoo te informa.Mara Lezama Ana Paty PeraltaLili CamposAtenea Gomez Ricalde,2023-10-31T06:28:11.484998,31-10-2023,06:28 AM,NORMAL
dimenews,https://www.facebook.com/DimeNews/posts/pfbid0eiWLzL1VPb5mVsLvQY33LZs6sDeEGQwyimSrPLnYjtQkU2NVgeeCNGrWzkx74xLDl?__cft__[0]=AZUbgxku4UfB1K0T_dgWPgvK0kns2FRMwBieEBsBJWbgBpzIwZpiT9vbTKkQCy4fdC79cjqoOV-iv3O0OzNoHsjInqss8vG15G3muJ2Uk20ZfCGPjuuHsutbV0WtXynxek5lXfj1hRxX-cCDcl_eTJ2EUU5vmqeijJiTp6lkzTlTPSbTuKaPlYO-9-mIqxLchRt76GTtbnGAuf6WzRB-1Zd-&__tn__=%2CO%2CP-R,0,0,1,Un dia como hoy en la #historia.,2023-10-31T06:00:37.460572,31-10-2023,06:00 AM,NORMAL
ptomorelosayto,https://www.facebook.com/PtoMorelosAyto/posts/pfbid0Y8VMwPwqxBM2L6GmXDkt5tns7qNQNF997DMyWF91yuB55cW2xcSFtsRGhk9HTvebl?__cft__[0]=AZUanG0keK3Z6iIwsa2g_Wq7sDeJzDlvCnhAR80wkn6BqnumUlsRHxCCxh7yQ1gqu5b7Oo1ECOviYXggFDCUyxv5xqfnmcLbd-yvuvxFlWudP7gIaYUDKlp9qSd3BkXC3RwehVf-Dk5w0IBw7R18itr0zqq42LoFnAgWx2nFUCjsEy1TidbRvN27m4Pca2Wmf5ciwtC8CtXElxF1d6-ZEvsA&__tn__=%2CO%2CP-R,0,5,5,"El #DiaDeMuertos es una celebracion ancestral que honra a los seres queridos fallecidos, a traves de los altares se cree que se tiende un puente de comunicacion entre ellos y los vivos.",2023-10-31T06:01:28.915969,31-10-2023,06:01 AM,NORMAL
maralezamaoficial,https://www.facebook.com/MaraLezamaOficial/posts/pfbid0iVaitt1PhYGFUU57NnjcyhuoXNoBCFL1hkfHHoS7nXzvr58zmoW5xNaCAbkiTUuMl?__cft__[0]=AZVsRQdBwmwwRA2HxUHcRTBcMQAnLsDBmho7kwBg4On8FytiMUypxqfHNB9uzR8hK6v__Q3S3B4uhnGpg0h8ZhGykFlGb5dIi1OiDQMIeKlfadxzphwcuCTSs4NpUSYEgdnB7QoGxFTDLMw1wOR9bHfA12KvqGBo06JCK9qWDSIvhw6eN1Bk8q9xz7w8w2XsjDnwRz_X1s9YT34HgGoj5wha&__tn__=%2CO%2CP-R,45,156,13,"Quintanarroenses, esta temporada invernal es importante acudir a aplicarnos las vacunas contra la influenza y covid-19. Aqui les comparto la importancia de aplicarse cada una de estas dosis, para protegernos contra las enfermedades respiratorias. Acudan a su unidad de salud mas cercana y pregunten por el esquema de vacunacion. #UnidosParaTransformar Secretaria de Salud Quintana Roo",2023-10-31T05:59:11.184121,31-10-2023,05:59 AM,NORMAL
ricardovelazco2022,https://www.facebook.com/RicardoVelazco2022/posts/pfbid02L2vVLEdUg59EaDJb5AzYR146ypb7z2erYqsmqcVCqmhTErH1cZo6evSGfwGsmd19l?__cft__[0]=AZXXIXSK3-GBSgyqWs2tej_Xynxc1jKm5Q1_oTI2r2IZL9EudKy1f-0QycXrB_8vjaaZf06C9BKkiz3KBi2Ot6pGOeCelnfimj6UX2YZ0L3g8aocGDHv4xLLIzUU_3OjNO1oStQvWgAZ-MeBEnNj7gMldBLIYgmgDHQJGTcqJn7W4nEi9ke_lp9bBeziqGLxtABIlbk91UyWMPXYdSRfrnB0&__tn__=%2CO%2CP-R,0,5,0,"Presente en la Reunion de la Comisiones Unidas de Deporte y para la Igualdad de Genero, con motivo del estudio, analisis, discusion y dictaminacion de la Iniciativa de decreto por el que se adicionan y reforman diversas disposiciones de la Ley Estatal de Cultura Fisica y Deporte; la Ley para la Igualdad entre Mujeres y Hombres del Estado de Quintana Roo y la Ley de la Juventud del Estado Libre y Soberano de #QuintanaRoo. #UnidosParaTransformar #trabajandoconelcorazon",2023-10-31T06:10:10.645661,31-10-2023,06:10 AM,NORMAL
hugoaldayn,https://www.facebook.com/HugoAldayN/posts/pfbid02BCcpbXAhh2zpDdvTZDyKKXzyBsKr68REon2R9kpZoMjc1X1NwWQY4u63xEV5qDvBl?__cft__[0]=AZX_qKc0KsU2nXw3lXRC1evJAzFhuKbbxGTIgtle7fFm5E-17fI1fhFLaCMgZSq51VAH68w2zEttaQ932uiKGlCR1cgD8gg_n848ww3YSCaCR74JrWsaL6Br4gTOIZlG2l53bHqA0gOWCEirtqVmHA8AV94gNei7SLo6W6MSuzUnRbttleYEfJ9KYe-7jsYuY9Aws3K3JfhfYLeM2RwzCJYm&__tn__=%2CO%2CP-R,0,1,1,Ya fueron a ver la decoracion de Dia de Muertos en el Ayuntamiento de Cancun?Vale la pena ir. #DiaDeMuertos,2023-10-31T05:53:35.314917,31-10-2023,05:53 AM,NORMAL
lululatife,https://www.facebook.com/LuluLatife/posts/817803963683857:1045446939930051?__cft__[0]=AZUS7Bht8rAW8QHtunRCJwHp4R921Pyrl2clIN7D8ye_wX202aSX-l1Ubhgq5GhRl69TIWyDvLTp6rk5Lo9xNFIhuZs4CpUwAkr09N1xzWVkn5gTAjJgA7gyxAoJdTyi7BG42pXuusesPHnasTsDvtj29oZY5Mfntb8alwRhAscVDLAEzTqZ82ZAXGuvh_wQ0gqGnL6NoKRM-edF_X8Sz7HzTWTZ9Lk4M8edQx_WRNcvgg&__tn__=%2CO%2CP-R,0,7,0,,2023-10-31T00:53:06.639372,31-10-2023,12:53 AM,NORMAL
lululatife,https://www.facebook.com/LuluLatife/posts/293535793585777:293535793585777?__cft__[0]=AZUyj80OyF_rywKfbL9u8uIMn5uM_ETufmGbhUDD8NPquks0QSk3aYIUmcSy9p3T2L0hh0BQPoeeEYB8fII5O24_lheFZy7hga4FUeUiLY-FQJzOMiBbw-aAS0QuYkqLA-bT5p9_hekbblugJY013U3nKDeETjvNAjyEMPgVSEg6HMi5C0xxHKupz504h3glXMwNfozrwpeTTHfAjF_gS7d8&__tn__=%2CO%2CP-R,0,12,1,,2023-10-31T00:53:23.659957,31-10-2023,12:53 AM,NORMAL
lululatife,https://www.facebook.com/LuluLatife/posts/pfbid02Jf6CW5vE33CpNpVg5CP9ESyzWUMukswa6qkJrnbKvC7vL6qq9ti6BZ7mnDVZMZFcl?__cft__[0]=AZWSeKBLt2ARTWTU8i3izZETGzrXM8PqNMtgsemI3CVQ9TMNfDI1VIj_7zmywuyCvLbyVbqLv3shlIOnqQwIIXuCXanjXf0Esg-FMSd_vWvi5vrI_ZWQuo0yTlMwyf2Rr8GdfVY40t2TEabWu7aJsH25mpjUcusf3wMRnBdA1g85uZT0hzBSD5aqJbd8Nha3mzWkxq_ws_p8ytVbu69yeFgy1DucjxGqwm440eZd2WCK7-UOZMDTsl1tu_Kd4cbhvYk&__tn__=%2CO%2CP-R,0,4,0,Un magnifico evento que nos permite celebrar el 113 Aniversario de la Revolucion Mexicana!#L4TIendoPorCancun#BenitoJuarez #Cancun#Deporte #DesfileMilitar,2023-10-30T23:53:24.023983,30-10-2023,11:53 PM,NORMAL
lululatife,https://www.facebook.com/LuluLatife/posts/pfbid02PRAzoCFP7gFtZaxezir2pxJaVjPD5sufPq1einebcx3QrpNppqn12S48CdKpg7fXl?__cft__[0]=AZWPV5kBHWOM4wwC2wLg8C2Y3m3Eab-nb6QigA_3Bafxsw3IwxY_Bi8ADyYhdRR1Hcg3yyCFHQ-Rhf4TlyM2k-RtZD2AxzCyJ23qsYK-kfMFw7cZoBIwb0CMkyYfjat5aZ4oQJeqE1v8E2agB0Pknta8oTfN7iEu2x8HmEm7Xq7v-F3GXGZY4OE0qs2a7RHuYfpWfo7aTazuSdgaJGiecaJe&__tn__=%2CO%2CP-R,0,7,1,"El dia de hoy estuvimos presentes en la Vigesima Tercera Sesion de la Comision de Salud Publica, Asistencia Social y Proteccion Animal.#L4TIendoPorCancun#BenitoJuarez  #Cancun#SaludPublica #ProteccionAnimal",2023-10-30T23:53:24.727103,30-10-2023,11:53 PM,NORMAL
temistoclesvr,https://www.facebook.com/TemistoclesVR/posts/pfbid0W3GR2SC1TgK7E3Get5wW7foL3MehvMT7KosDr1rjn5GbFaXVvkEmn3GrCEu82TLMl?__cft__[0]=AZXxunXlZqMjcRJX4nj_HTUD_yB-cq1DrspWy7bT1-HHqXqi5Qc3yOfhYe1ynu6C-e9J-cRFLf1Xj8Qc0kXnoYD_1ace2jQ1qapMEvdPIlEYcR2E0qWVS2ey7plARgXDjKNay9izaET41hT0ElfCraZ4TrhrVhT2w7T49X4BkjhaXSBD-J_4Me6PxpsyX_t7C78BsHEANMbY-ds1GABrSMfH&__tn__=%2CO%2CP-R,0,10,2,"El primer dia de la semana lo termine con #AsambleaVecinal en la #ColoniaObrera, donde escuche sus preocupaciones sobre seguridad, atencion al espacio publico y el cuidado del medio ambiente. Me llevo sus necesidades para atenderlas y gestionar prontas soluciones. Agradezco su asistencia y participaciones. Todos sus comentarios son indispensables para trabajar por una mejor alcaldia. Sigamos trabajando de la mano. #SigamosConstruyendo una mejor Cuauhtemoc.",2023-10-30T23:53:54.287287,30-10-2023,11:53 PM,NORMAL
mariodelgadocarrillo,https://www.facebook.com/mariodelgadocarrillo/posts/pfbid0RkV8zkuQduUXdviLWUj7JHchZHt4H76T4bAFoHoyZwqpZkSiD1L8gN3bhbWAeiYCl?__cft__[0]=AZWAZMyEo8nbSAdNd7RsZeuouCzHI_jBUNkmemJxbTVAS6GH9SdzZyBA5h0KWhZYDYTjUQqWupXHW1ELTF9ZkqCeYpSPiXydWCA2t3p0VNiS_BI5th6L--wKt-EC9cEvq1LY5GtULFgxHNFThir32XtlqKn9l0uAuQfXkmgXbFuqw60iEni57qQCSVZuNUZVhbCqEzqAEJb0SVKyyLX2V5RkIb6LREf6VkJLKD12beNTnw&__tn__=%2CO%2CP-R,15,237,29,"La Dra. Claudia Sheinbaum, Coordinadora Nacional de Defensa de la #4T, nos acompano en una reunion interna. Unidas y unidos somos mas fuertes!",2023-10-30T22:57:24.328566,30-10-2023,10:57 PM,NORMAL
dimenews,https://www.facebook.com/DimeNews/posts/pfbid02hfCbQe7yAEYyrvjeYLAiYQthWCNR7MXJrVZAvGP8EQ1p83RooMtevuAvEij79krrl?__cft__[0]=AZUrx3lVCNTsuSDlWZFsirKIIKJBb8arFmSy1bUH0k4WI68b8SwkvdzrQGy_fmQDYjDRkDGyR0xwKEa522pqE7Z-p3ZlaKJ3-bsKvXZrN8zhdUs4Rgr21UxbeK7vInCNPoNV3KJV3CqAvzWlHc5EK4IWLw1lLbtGk04T8ORJsvyP1TQ3_dyB14F7ahBWdDwAw83C8J4a68FGqZKKyFj1t55R&__tn__=%2CO%2CP-R,0,0,0,#FelizMartes DiMe News #QuintanaRoo te informa.Mara Lezama Ana Paty PeraltaLili CamposAtenea Gomez Ricalde,2023-10-31T06:27:37.444850,31-10-2023,06:27 AM,NORMAL
dimenews,https://www.facebook.com/DimeNews/posts/pfbid0eiWLzL1VPb5mVsLvQY33LZs6sDeEGQwyimSrPLnYjtQkU2NVgeeCNGrWzkx74xLDl?__cft__[0]=AZUY0zWSCmlN63LjLm5svEYgzGh_vQATRqMjBqwtUqjboa579n9ypavzUyM1kFOb6tpcf1jLDOIc0JUriIQ1FmpLMVJu0gyf6Kxm_o5iDjjN7SaVVO536B2n78IB2KPvyfLBHI4P99DUpjrXvdXcsSlPUIqdI-bff21tI_DzeoBtIrKWqtHGroP-Q46rxmVjroYf65xIQ5nLM-EQmBYBDhOC&__tn__=%2CO%2CP-R,0,0,1,Un dia como hoy en la #historia.,2023-10-31T06:01:17.074929,31-10-2023,06:01 AM,NORMAL
ogharfuch,https://www.facebook.com/OGHarfuch/posts/pfbid0d7TcqeyWREfV6Ac9K7jucpUGNuSvtJzKR7ivrLaLt6SPz62nfQboa43tKi2kHdNgl?__cft__[0]=AZW8EQXPDahumQV27nGpP6TUidyZGbWw2u3jks8chrfpB_i4UBT1QRq4VQVVxk-6Gy0xxdt0BQzs-YlR7x1kCKBzrrIOpaoZmaF1JeHleiN0FGvsXcATkwp8a1oaA345I41VtaO2yg7g7NPuSJ0zktMYJsZdKcN094e6WmopB1nuPIRC7vEUBqOO07JxIyxrhy-MG6bIMUu1qFNprh6uGXj7&__tn__=%2CO%2CP-R,53,1509,68,Tradiciones unicas! Que gran evento en Tlahuac!,2023-10-30T22:58:23.675554,30-10-2023,10:58 PM,NORMAL
100063471730986,https://www.facebook.com/cristinacruzmx/posts/pfbid0woG4MhKoieaCQT97pQSRiCXiycDmRmKa5jhRVjNQHAmobYvZ4JaDvfEaGC5r4NPel?__cft__[0]=AZWoyIPDfWmCF7Yv5S5mFZ30lf1tiGOJh_hp5f-vYG92cf8nQb6B4LUAMLEgNS-vNeVhin5PySbDgYakrlY-O0jbN6xrJcNWSZ13MfSQqXlKSI3d_hVUW-N1cvyJdDZkgJ0a4RXPcKA0HeoegMerYmfiNSjCP1DDycc0FDqvbU0HNe_Q2iC8WpW2qIBOXSmgyHHrvusJfSWzG574MTUWmTVw&__tn__=%2CO%2CP-R,0,13,1,Este lunes nos reunimos con nuestra Coordinadora Nacional de los Comites en Defensa de la 4T @claudia_shein fortaleciendo la unidad y organizacion de nuestro movimiento.,2023-10-30T22:58:16.671812,30-10-2023,10:58 PM,NORMAL
danielduarte.vall,https://www.facebook.com/DanielDuarte.Vall/posts/pfbid0KGasPB79BthWTa1yweNaKi8GsQkf4MdxqZ6fJwkkqXSVc2Li5aKuL6pUHYjN8q5xl?__cft__[0]=AZWt1MnMGSh3ALCL-QxMgVpv7D5QZBhUpIJQCzzUCUpUJSZtcpGbXiTqv_RxndYG32XMpn3IyqwItSMLvRyhWv8NEMQLGiU2Qml7uENkMJw6Yu2xhtRPKDrb0S52s-Z8hnM_Pm9MbWs3JXjxF7J6gVr5maNnkArnE3PHQ0CQl-Ob5VJzAN7iUm3nyO-Dx1pQCxEeCXr9x1Tgu6ViWB2ZAJ234LAgPmnYP4ZRfzGqgyIncGpXGMwvVRWKNQ0B1Fp6m74&__tn__=%2CO%2CP-R,0,0,0,Y a tus muertitos que les gustaba en vida? #diademuertos #mexico,2023-10-30T22:58:25.360050,30-10-2023,10:58 PM,NORMAL
crissalcerreca,https://www.facebook.com/CrissAlcerreca/posts/pfbid0Fe8tidjSDgwYwV8HARMr4B7RDqkJeEUTPwF1xsvx8yMDUX5xG8CconSt1eLDUgbYl?__cft__[0]=AZWjLKmGrVr2nDxRiON2tmVDNs_y8Y4eXFIctqVoh6LEGU9g3skNB3XXtMF3VuT1f2YdjHYGKjo6B_1vgKYV2Ef9LgX-Gp4rvwuT5DB7l6aYHJLwJzCjkZhqKVcZT3sDb5GSJgAWiIsLXhoKYzu---_UAY5N_cC32PZlHgeEmPZ4fd0R8PDeKsFG8xOXPwkpcii4ndIvBLF1hlDTMwIGe9lP&__tn__=%2CO%2CP-R,0,4,0,"Este lunes, en nuestra sesion ordinaria numero 20, tuve el honor de participar en la aprobacion de la reforma a los articulos 12 y 17 de la Constitucion Politica del Estado. Esta iniciativa, que surgio de la vision de nuestra gobernadora, Mara Lezama, marca un importante paso en nuestro compromiso con el reconocimiento de la dignidad humana y el derecho a una buena administracion publica. Estamos decididos a avanzar hacia una transformacion significativa del estado.#LegislarParaTodos#XVIILegislatura",2023-10-30T22:58:26.485045,30-10-2023,10:58 PM,NORMAL
